contig_id	size	genome_id
CP037893.1	4768632	GCA_000238455.3
CP019186.1	4482117	GCA_000240905.3
CP019187.1	100629	GCA_000240905.3
CP019188.1	95279	GCA_000240905.3
CP015923.1	4841916	GCA_000271885.2
CP015924.1	4883715	GCA_000271905.2
CP140746.2	4691518	GCA_000272535.3
CP140747.1	67705	GCA_000272535.3
CP010284.2	4860892	GCA_000272835.5
CP150372.1	58519	GCA_000272835.5
CP009570.2	85837	GCA_000272835.5
CP019035.1	4609911	GCA_000335995.2
CP039502.1	4724790	GCA_000439415.2
CP039501.1	81815	GCA_000439415.2
CP016357.1	4712541	GCA_000483715.2
CP011259.2	4797172	GCA_000484195.3
CP019176.1	4751206	GCA_000486045.2
CP017728.1	4819807	GCA_000486345.2
CP017729.1	93826	GCA_000486345.2
CP019192.1	4572929	GCA_000486585.2
CP019193.1	196866	GCA_000486585.2
CP019185.1	4580689	GCA_000486725.2
CP019197.1	4648879	GCA_000486815.2
CP019184.1	4592393	GCA_000486855.2
CP019183.1	4905181	GCA_000486915.2
CP019201.1	4756014	GCA_000487015.2
CP019198.1	4879583	GCA_000487035.2
CP019200.1	34175	GCA_000487035.2
CP019199.1	59062	GCA_000487035.2
CP019181.1	4865682	GCA_000487155.2
CP019182.1	124201	GCA_000487155.2
CP149432.1	4750116	GCA_000487215.2
CP019178.1	4660922	GCA_000487255.2
CP012344.2	4752095	GCA_000487295.3
CP012345.2	49584	GCA_000487295.3
CP019177.1	4805448	GCA_000487515.2
CP017723.1	4888463	GCA_000487935.2
CP017724.1	106449	GCA_000487935.2
CP017725.1	49762	GCA_000487935.2
CP017726.1	58302	GCA_000487935.2
CP019189.1	4876720	GCA_000493295.2
CP019190.1	186451	GCA_000493295.2
CP019191.1	28662	GCA_000493295.2
CP015024.2	4798531	GCA_000494385.3
CP039496.1	4726555	GCA_000698515.2
CP039497.1	81942	GCA_000698515.2
CP039500.1	4727567	GCA_000698715.2
CP075037.1	4620577	GCA_000732045.2
CP075038.1	147099	GCA_000732045.2
CP039499.1	4727570	GCA_000748245.2
CP039498.1	4774876	GCA_000748565.2
CP026052.1	4679420	GCA_000783815.2
CP026053.1	47793	GCA_000783815.2
CP026054.1	59363	GCA_000783815.2
CP074257.1	4713725	GCA_000806805.2
CP074260.1	4806998	GCA_000806845.2
CP074259.1	4710942	GCA_000806925.2
CP074256.1	4705145	GCA_000807005.2
CP074261.1	4821039	GCA_000807035.2
CP074262.1	4762862	GCA_000807055.2
CP007211.2	4667713	GCA_000940895.2
CP007216.2	4695514	GCA_000940935.2
CP007235.2	4856438	GCA_000941015.2
CP007483.2	4731596	GCA_000963535.2
CP007540.2	4488371	GCA_000973665.2
CP007559.2	4790388	GCA_000973685.2
CP007584.2	4844415	GCA_000988525.3
CP014707.1	101118	GCA_000988525.3
LT904883.1	4758451	GCA_001048035.2
LT904854.1	4796046	GCA_001048375.2
CP140751.2	4882716	GCA_001051545.3
CP140750.2	4881897	GCA_001051625.3
CP140748.2	4882754	GCA_001051695.3
CP140749.1	4638	GCA_001051695.3
CP140742.2	4799886	GCA_001051815.3
CP140743.2	41582	GCA_001051815.3
LT904871.1	4771489	GCA_001079465.2
LT904869.1	4786155	GCA_001088345.2
LT904876.1	4757695	GCA_001095585.2
LT904882.1	4777711	GCA_001104165.2
LT904870.2	4784041	GCA_001104885.3
LT904881.1	4765548	GCA_001106745.2
LT904890.1	4781466	GCA_001118185.2
LT904887.1	4761738	GCA_001119245.2
LT904877.1	4653627	GCA_001121865.2
LT904884.1	4800835	GCA_001127485.2
LT904777.2	4782103	GCA_001135805.3
LT905088.1	4636142	GCA_001148125.2
LT905140.1	4793405	GCA_001148305.2
LT883153.1	4808702	GCA_001157245.2
LT883154.1	106706	GCA_001157245.2
LT904868.1	4843068	GCA_001163025.2
LT904875.1	4781022	GCA_001165785.2
CP026976.1	4751278	GCA_001188125.2
LT904878.1	4769894	GCA_001240865.2
LT904879.1	215515	GCA_001240865.2
LT904880.1	106516	GCA_001240865.2
LT905141.1	4648949	GCA_001317685.2
LT904893.1	4807786	GCA_001356455.2
LT904891.1	4802101	GCA_001357935.2
LT904892.1	192619	GCA_001357935.2
LT904888.1	4781948	GCA_001359015.2
LT904889.1	65273	GCA_001359015.2
LT905139.1	4783440	GCA_001360555.2
LT904852.1	4795849	GCA_001361075.2
LT904853.1	106704	GCA_001361075.2
LT904867.1	4835677	GCA_001362095.2
LT904872.1	4732489	GCA_001362135.2
LT904873.1	25340	GCA_001362135.2
LT904874.1	2090	GCA_001362135.2
LT904894.1	4807646	GCA_001362175.2
LT904895.1	106704	GCA_001362175.2
LT905142.1	4787723	GCA_001362195.2
LT904886.1	4772283	GCA_001362335.2
LT905090.1	4781957	GCA_001364695.2
LT905089.1	97394	GCA_001364695.2
LT904885.1	4723198	GCA_001367555.2
CP022500.1	4782363	GCA_001448485.2
CP022501.1	1857	GCA_001448485.2
CP022502.1	66760	GCA_001448485.2
CP022503.1	4940239	GCA_001448705.2
CP123660.1	4765911	GCA_001479685.2
CP123661.1	146005	GCA_001479685.2
CP123662.1	46121	GCA_001479685.2
CP014994.1	4834050	GCA_001535315.2
CP014995.1	109917	GCA_001535315.2
LN999997.1	5037238	GCA_001540845.1
CP014051.2	4857490	GCA_001558355.2
CP014050.2	93933	GCA_001558355.2
CP014358.1	4933574	GCA_001576255.1
CP014359.1	94075	GCA_001576255.1
CP014356.1	4916170	GCA_001576275.1
CP014357.1	93837	GCA_001576275.1
CP014536.1	4912959	GCA_001577505.1
CP014537.1	93844	GCA_001577505.1
CP053702.1	4861882	GCA_001597795.2
CP053703.1	55277	GCA_001597795.2
CP014996.1	5047093	GCA_001612515.1
CP014997.1	81966	GCA_001612515.1
CP014657.1	4704371	GCA_001620115.1
CP014658.1	160227	GCA_001620115.1
CP014659.2	4945392	GCA_001620135.2
CP014660.1	9323	GCA_001620135.2
CP014661.1	4700848	GCA_001620155.1
CP014662.1	103851	GCA_001620155.1
CP014621.2	4883499	GCA_001620205.2
CP014622.1	97041	GCA_001620205.2
CP014620.1	4676958	GCA_001620225.1
CP014663.2	4836393	GCA_001623545.2
CP014664.1	4783492	GCA_001623585.1
CP014665.1	4751034	GCA_001623625.1
CP014965.1	4799398	GCA_001623645.2
CP016864.1	104649	GCA_001623645.2
CP016865.1	104250	GCA_001623645.2
CP016866.1	4675	GCA_001623645.2
CP016867.1	3223	GCA_001623645.2
CP014666.2	4635697	GCA_001623665.2
CP014967.1	4906321	GCA_001623685.1
CP014968.1	94016	GCA_001623685.1
CP014981.1	4815208	GCA_001623705.1
CP014969.1	4936894	GCA_001623725.1
CP014970.1	94014	GCA_001623725.1
CP014982.2	4927145	GCA_001623745.2
CP014971.2	4784385	GCA_001623765.2
CP014972.2	95780	GCA_001623765.2
CP014973.1	93960	GCA_001623765.2
CP014974.1	35954	GCA_001623765.2
CP014983.1	4823793	GCA_001623775.1
CP014975.1	4933707	GCA_001623805.1
CP014976.1	94019	GCA_001623805.1
CP014979.2	4884395	GCA_001623825.2
CP014980.1	94034	GCA_001623825.2
CP014977.1	4856440	GCA_001623845.1
CP014978.1	147296	GCA_001623845.1
CP011942.1	4679487	GCA_001647045.1
CP011944.1	3372	GCA_001647045.1
CP011945.1	2096	GCA_001647045.1
CP011943.1	59372	GCA_001647045.1
CP015724.1	4791723	GCA_001647755.1
CP015725.1	210106	GCA_001647755.1
CP075141.1	4855022	GCA_001652385.2
CP075142.1	75400	GCA_001652385.2
CP016510.1	4747525	GCA_001690035.1
CP016511.1	2094	GCA_001690035.1
CP016512.1	37697	GCA_001690035.1
CP016513.1	6647	GCA_001690035.1
CP016514.1	4751447	GCA_001690055.1
CP016515.1	37697	GCA_001690055.1
CP016516.1	98998	GCA_001690055.1
CP016517.1	4751335	GCA_001690075.1
CP016518.1	37698	GCA_001690075.1
CP016519.1	6647	GCA_001690075.1
CP016520.1	92323	GCA_001690075.1
CP016530.1	4751449	GCA_001690095.1
CP016531.1	37697	GCA_001690095.1
CP016532.1	4245	GCA_001690095.1
CP016533.1	91980	GCA_001690095.1
CP016521.1	4750474	GCA_001690115.1
CP016522.1	101723	GCA_001690115.1
CP016523.1	2096	GCA_001690115.1
CP016524.1	37697	GCA_001690115.1
CP016563.1	4751227	GCA_001692495.1
CP016564.1	37697	GCA_001692495.1
CP016573.1	4751453	GCA_001692515.1
CP016574.1	2246	GCA_001692515.1
CP016575.1	37697	GCA_001692515.1
CP016579.1	4750330	GCA_001692535.1
CP016580.1	37696	GCA_001692535.1
CP016561.1	4751226	GCA_001692555.1
CP016562.1	37697	GCA_001692555.1
CP016569.1	4751746	GCA_001692575.1
CP016570.1	2246	GCA_001692575.1
CP016571.1	37697	GCA_001692575.1
CP016572.1	98999	GCA_001692575.1
CP016565.1	4751462	GCA_001692595.1
CP016566.1	2246	GCA_001692595.1
CP016567.1	37697	GCA_001692595.1
CP016568.1	98998	GCA_001692595.1
CP016576.1	4751454	GCA_001692615.1
CP016577.1	2246	GCA_001692615.1
CP016578.1	37697	GCA_001692615.1
CP016586.1	4750331	GCA_001692635.1
CP016587.1	37696	GCA_001692635.1
CP016581.1	4747526	GCA_001692655.1
CP016582.1	2094	GCA_001692655.1
CP016583.1	37697	GCA_001692655.1
CP016584.1	6647	GCA_001692655.1
CP016585.1	99473	GCA_001692655.1
CP012396.1	4680751	GCA_001705055.1
CP012397.1	116939	GCA_001705055.1
CP015157.1	4846304	GCA_001705365.1
CP015158.1	93829	GCA_001705365.1
CP074661.1	4668867	GCA_001713515.2
CP074662.1	58711	GCA_001713515.2
CP074663.1	4868432	GCA_001756025.2
CP074664.1	93960	GCA_001756025.2
CP075138.1	4881088	GCA_001831715.2
CP075139.1	123781	GCA_001831715.2
CP075137.1	4879725	GCA_001831915.2
CP075135.1	4866315	GCA_001831985.2
CP075136.1	26158	GCA_001831985.2
CP075134.1	4795558	GCA_001833225.2
CP075129.1	4863823	GCA_001833255.2
CP075130.1	137164	GCA_001833255.2
CP075131.1	26158	GCA_001833255.2
CP075127.1	4754349	GCA_001833305.2
CP075132.1	4974631	GCA_001834735.2
CP075133.1	124149	GCA_001834735.2
CP075125.1	4872383	GCA_001834965.2
CP075126.1	136500	GCA_001834965.2
CP016010.1	4833991	GCA_001890165.1
CP016011.1	67730	GCA_001890165.1
CP016012.1	4898059	GCA_001890185.1
CP016013.1	130039	GCA_001890185.1
